name,id,xloc,yloc,cell,orient,routing_demand,congestion,capacity,GRC_Index,pin_count,pin_total
out_reg_54_,55,80896,50688,65,0,22.0,-7.0,29.0,"(33, 52)",6,6
out_reg_53_,56,83456,59904,65,4,19.0,-13.0,32.0,"(39, 54)",6,24
out_reg_52_,57,512,4608,65,6,8.0,-24.0,32.0,"(3, 0)",6,12
out_reg_51_,58,59520,4608,65,2,18.0,-14.0,32.0,"(3, 38)",6,24
out_reg_50_,59,24576,4608,65,6,20.0,-14.0,34.0,"(3, 15)",6,6
out_reg_49_,60,512,47616,65,6,21.0,-7.0,28.0,"(31, 0)",6,12
out_reg_48_,61,24064,81408,65,6,20.0,-10.0,30.0,"(53, 15)",6,6
out_reg_47_,62,83456,29184,65,2,12.0,-20.0,32.0,"(19, 54)",6,24
out_reg_46_,63,4352,69120,65,0,21.0,-10.0,31.0,"(45, 2)",6,12
out_reg_45_,64,76416,78336,65,0,21.0,-10.0,31.0,"(51, 49)",6,12
out_reg_44_,65,58624,81408,65,4,16.0,-8.0,24.0,"(53, 37)",6,12
out_reg_43_,66,74880,81408,65,0,11.0,-18.0,29.0,"(53, 48)",6,12
out_reg_42_,67,75520,4608,65,4,13.0,-16.0,29.0,"(3, 48)",6,12
out_reg_41_,68,20096,81408,65,6,25.0,-7.0,32.0,"(53, 12)",6,22
out_reg_40_,69,83456,4608,65,4,10.0,-22.0,32.0,"(3, 54)",6,24
out_reg_39_,70,83456,32256,65,4,13.0,-19.0,32.0,"(21, 54)",6,24
out_reg_38_,71,35840,81408,65,6,21.0,-9.0,30.0,"(53, 23)",6,6
out_reg_37_,72,75776,4608,65,0,15.0,-15.0,30.0,"(3, 49)",6,12
out_reg_36_,73,80256,62976,65,0,23.0,-13.0,36.0,"(41, 51)",6,17
out_reg_35_,74,67456,4608,65,2,14.0,-18.0,32.0,"(3, 43)",6,24
out_reg_34_,75,51456,4608,65,2,19.0,-13.0,32.0,"(3, 33)",6,24
out_reg_33_,76,83456,44544,65,2,13.0,-19.0,32.0,"(29, 54)",6,24
out_reg_32_,77,47360,81408,65,6,21.0,-9.0,30.0,"(53, 30)",6,12
valid_reg_2_,78,6912,84480,65,0,13.0,-19.0,32.0,"(55, 4)",6,6
out_reg_95_,79,4608,7680,65,6,13.0,-17.0,30.0,"(5, 2)",6,6
out_reg_94_,80,34560,44544,65,6,19.0,-9.0,28.0,"(29, 22)",6,6
out_reg_93_,81,4352,29184,65,0,18.0,-13.0,31.0,"(19, 2)",6,12
out_reg_92_,82,29184,4608,65,0,23.0,-8.0,31.0,"(3, 18)",6,12
out_reg_91_,83,83456,72192,65,2,13.0,-18.0,31.0,"(47, 54)",6,12
out_reg_90_,84,62848,81408,65,0,17.0,-7.0,24.0,"(53, 40)",6,6
out_reg_89_,85,4352,53760,65,0,20.0,-11.0,31.0,"(35, 2)",6,12
out_reg_88_,86,10624,7680,65,4,18.0,-7.0,25.0,"(5, 6)",6,6
out_reg_87_,87,4224,32256,65,0,21.0,-11.0,32.0,"(21, 2)",6,12
out_reg_86_,88,84096,47616,65,0,15.0,-17.0,32.0,"(31, 54)",6,24
out_reg_85_,89,84096,56832,65,0,19.0,-13.0,32.0,"(37, 54)",6,18
out_reg_84_,90,8576,4608,65,6,14.0,-17.0,31.0,"(3, 5)",6,12
out_reg_83_,91,51840,1536,65,0,17.0,-15.0,32.0,"(1, 33)",6,12
out_reg_82_,92,27520,1536,65,4,19.0,-13.0,32.0,"(1, 17)",6,12
out_reg_81_,93,4096,44544,65,0,25.0,-7.0,32.0,"(29, 2)",6,12
out_reg_80_,94,23296,81408,65,0,15.0,-9.0,24.0,"(53, 14)",6,6
out_reg_79_,95,84096,29184,65,0,12.0,-20.0,32.0,"(19, 54)",6,24
out_reg_78_,96,3712,72192,65,0,21.0,-11.0,32.0,"(47, 2)",6,6
out_reg_77_,97,80256,78336,65,0,12.0,-19.0,31.0,"(51, 51)",6,12
out_reg_76_,98,59520,84480,65,2,16.0,-16.0,32.0,"(55, 38)",6,24
out_reg_75_,99,69376,81408,65,6,16.0,-12.0,28.0,"(53, 44)",6,6
out_reg_74_,100,83456,4608,65,2,10.0,-22.0,32.0,"(3, 54)",6,24
out_reg_73_,101,19456,84480,65,2,18.0,-14.0,32.0,"(55, 12)",6,24
out_reg_72_,102,84096,1536,65,0,4.0,-28.0,32.0,"(1, 54)",6,12
out_reg_71_,103,84096,35328,65,6,16.0,-15.0,31.0,"(23, 54)",6,18
out_reg_70_,104,35840,84480,65,6,19.0,-11.0,30.0,"(55, 23)",6,12
out_reg_69_,105,83456,1536,65,4,4.0,-28.0,32.0,"(1, 54)",6,12
out_reg_68_,106,80256,66048,65,6,23.0,-7.0,30.0,"(43, 51)",6,6
out_reg_67_,107,59648,4608,65,6,18.0,-14.0,32.0,"(3, 38)",6,24
out_reg_66_,108,35840,1536,65,0,21.0,-9.0,30.0,"(1, 23)",6,6
out_reg_65_,109,84096,38400,65,0,17.0,-15.0,32.0,"(25, 54)",6,6
out_reg_64_,110,43520,84480,65,2,17.0,-15.0,32.0,"(55, 28)",6,24
valid_reg_3_,111,512,84480,65,6,8.0,-24.0,32.0,"(55, 0)",6,12
out_reg_127_,112,17408,7680,65,6,20.0,-8.0,28.0,"(5, 11)",6,11
out_reg_126_,113,33408,44544,65,0,23.0,-3.0,26.0,"(29, 21)",6,20
out_reg_125_,114,4352,35328,65,6,20.0,-11.0,31.0,"(23, 2)",6,12
out_reg_124_,115,25344,4608,65,0,15.0,-9.0,24.0,"(3, 16)",6,6
out_reg_123_,116,75520,84480,65,4,14.0,-15.0,29.0,"(55, 48)",6,12
out_reg_122_,117,67456,87552,65,2,14.0,-22.0,36.0,"(57, 43)",6,12
out_reg_121_,118,4352,56832,65,6,26.0,-6.0,32.0,"(37, 2)",6,12
out_reg_120_,119,4352,13824,65,6,16.0,-15.0,31.0,"(9, 2)",6,12
out_reg_119_,120,4352,35328,65,0,20.0,-11.0,31.0,"(23, 2)",6,12
out_reg_118_,121,84096,50688,65,6,14.0,-17.0,31.0,"(33, 54)",6,12
out_reg_117_,122,84096,59904,65,0,19.0,-13.0,32.0,"(39, 54)",6,24
out_reg_116_,123,2944,7680,65,0,7.0,-21.0,28.0,"(5, 1)",6,6
out_reg_115_,124,56960,7680,65,6,23.0,-13.0,36.0,"(5, 36)",6,6
out_reg_114_,125,26880,7680,65,6,25.0,-11.0,36.0,"(5, 17)",6,11
out_reg_113_,126,4352,47616,65,6,23.0,-8.0,31.0,"(31, 2)",6,12
out_reg_112_,127,19840,84480,65,0,18.0,-14.0,32.0,"(55, 12)",6,24
out_reg_111_,128,84096,29184,65,6,12.0,-20.0,32.0,"(19, 54)",6,24
out_reg_110_,129,4352,66048,65,0,25.0,-6.0,31.0,"(43, 2)",6,12
out_reg_109_,130,84096,84480,65,6,7.0,-25.0,32.0,"(55, 54)",6,24
out_reg_108_,131,59520,84480,65,4,16.0,-16.0,32.0,"(55, 38)",6,24
out_reg_107_,132,84096,81408,65,6,7.0,-23.0,30.0,"(53, 54)",6,6
out_reg_106_,133,76416,7680,65,6,15.0,-16.0,31.0,"(5, 49)",6,12
out_reg_105_,134,19840,84480,65,6,18.0,-14.0,32.0,"(55, 12)",6,24
out_reg_104_,135,75776,10752,65,0,19.0,-11.0,30.0,"(7, 49)",6,6
out_reg_103_,136,84096,32256,65,0,13.0,-19.0,32.0,"(21, 54)",6,24
out_reg_102_,137,27776,87552,65,6,23.0,-13.0,36.0,"(57, 17)",6,12
out_reg_101_,138,77056,7680,65,0,15.0,-16.0,31.0,"(5, 49)",6,12
out_reg_100_,139,84096,75264,65,0,13.0,-18.0,31.0,"(49, 54)",6,18
out_reg_99_,140,64640,7680,65,6,14.0,-16.0,30.0,"(5, 41)",6,6
out_reg_98_,141,53120,7680,65,6,24.0,-5.0,29.0,"(5, 34)",6,6
out_reg_97_,142,84096,41472,65,0,15.0,-17.0,32.0,"(27, 54)",6,18
out_reg_96_,143,43776,87552,65,6,19.0,-17.0,36.0,"(57, 28)",6,12
valid_reg_4_,144,11776,87552,65,6,19.0,-17.0,36.0,"(57, 7)",6,12
out_reg_159_,145,12416,4608,65,6,14.0,-17.0,31.0,"(3, 7)",6,12
out_reg_158_,146,33792,38400,65,0,25.0,-7.0,32.0,"(25, 21)",6,16
out_reg_157_,147,10880,26112,65,6,19.0,-5.0,24.0,"(17, 6)",6,11
out_reg_156_,148,28416,4608,65,6,23.0,-8.0,31.0,"(3, 18)",6,12
out_reg_155_,149,76160,72192,65,0,20.0,-12.0,32.0,"(47, 49)",6,16
out_reg_154_,150,59776,84480,65,0,16.0,-16.0,32.0,"(55, 38)",6,24
out_reg_153_,151,8576,59904,65,0,25.0,-6.0,31.0,"(39, 5)",6,11
out_reg_152_,152,12416,4608,65,0,14.0,-17.0,31.0,"(3, 7)",6,12
out_reg_151_,153,11776,26112,65,0,25.0,-7.0,32.0,"(17, 7)",6,6
out_reg_150_,154,75776,47616,65,6,31.0,-5.0,36.0,"(31, 49)",6,16
out_reg_149_,155,75776,53760,65,6,30.0,-6.0,36.0,"(35, 49)",6,16
out_reg_148_,156,16512,4608,65,6,26.0,-6.0,32.0,"(3, 10)",6,12
out_reg_147_,157,51840,4608,65,6,19.0,-13.0,32.0,"(3, 33)",6,24
out_reg_146_,158,20352,4608,65,6,17.0,-14.0,31.0,"(3, 12)",6,12
out_reg_145_,159,11392,41472,65,6,28.0,-8.0,36.0,"(27, 7)",6,11
out_reg_144_,160,19840,87552,65,6,21.0,-15.0,36.0,"(57, 12)",6,12
out_reg_143_,161,83456,32256,65,2,13.0,-19.0,32.0,"(21, 54)",6,24
out_reg_142_,162,9344,78336,65,0,15.0,-17.0,32.0,"(51, 5)",6,12
out_reg_141_,163,75520,84480,65,2,14.0,-15.0,29.0,"(55, 48)",6,12
out_reg_140_,164,51840,84480,65,0,17.0,-15.0,32.0,"(55, 33)",6,24
out_reg_139_,165,67840,84480,65,6,21.0,-11.0,32.0,"(55, 43)",6,24
out_reg_138_,166,68480,7680,65,6,14.0,-15.0,29.0,"(5, 44)",6,12
out_reg_137_,167,11776,84480,65,0,19.0,-13.0,32.0,"(55, 7)",6,15
out_reg_136_,168,72576,7680,65,6,10.0,-20.0,30.0,"(5, 46)",6,6
out_reg_135_,169,76672,38400,65,6,28.0,-8.0,36.0,"(25, 49)",6,16
out_reg_134_,170,27776,84480,65,0,21.0,-11.0,32.0,"(55, 17)",6,24
out_reg_133_,171,67840,4608,65,0,14.0,-18.0,32.0,"(3, 43)",6,24
out_reg_132_,172,75776,59904,65,6,29.0,-7.0,36.0,"(39, 49)",6,16
out_reg_131_,173,59776,4608,65,0,18.0,-14.0,32.0,"(3, 38)",6,24
out_reg_130_,174,42624,4608,65,2,25.0,-6.0,31.0,"(3, 27)",6,22
out_reg_129_,175,76416,41472,65,6,25.0,-11.0,36.0,"(27, 49)",6,11
out_reg_128_,176,43520,84480,65,4,17.0,-15.0,32.0,"(55, 28)",6,24
valid_reg_5_,177,3840,87552,65,6,3.0,-33.0,36.0,"(57, 2)",6,6
out_reg_191_,178,4352,10752,65,0,15.0,-16.0,31.0,"(7, 2)",6,6
out_reg_190_,179,35456,50688,65,4,21.0,-9.0,30.0,"(33, 22)",6,17
out_reg_189_,180,4352,29184,65,6,18.0,-13.0,31.0,"(19, 2)",6,12
out_reg_188_,181,30848,7680,65,6,25.0,-2.0,27.0,"(5, 19)",6,16
out_reg_187_,182,75776,87552,65,6,12.0,-24.0,36.0,"(57, 49)",6,6
out_reg_186_,183,59776,87552,65,6,14.0,-22.0,36.0,"(57, 38)",6,12
out_reg_185_,184,3840,56832,65,0,26.0,-6.0,32.0,"(37, 2)",6,12
out_reg_184_,185,16512,4608,65,0,26.0,-6.0,32.0,"(3, 10)",6,12
out_reg_183_,186,4352,41472,65,0,21.0,-10.0,31.0,"(27, 2)",6,12
out_reg_182_,187,84096,53760,65,0,14.0,-17.0,31.0,"(35, 54)",6,18
out_reg_181_,188,82944,62976,65,6,14.0,-16.0,30.0,"(41, 53)",6,6
out_reg_180_,189,4352,23040,65,6,16.0,-15.0,31.0,"(15, 2)",6,12
out_reg_179_,190,51840,4608,65,0,19.0,-13.0,32.0,"(3, 33)",6,24
out_reg_178_,191,20352,4608,65,0,17.0,-14.0,31.0,"(3, 12)",6,12
out_reg_177_,192,4352,50688,65,0,23.0,-8.0,31.0,"(33, 2)",6,6
out_reg_176_,193,27520,87552,65,2,23.0,-13.0,36.0,"(57, 17)",6,12
out_reg_175_,194,84096,13824,65,0,12.0,-19.0,31.0,"(9, 54)",6,18
out_reg_174_,195,4352,66048,65,6,25.0,-6.0,31.0,"(43, 2)",6,12
out_reg_173_,196,83456,84480,65,2,7.0,-25.0,32.0,"(55, 54)",6,24
out_reg_172_,197,51840,87552,65,6,14.0,-22.0,36.0,"(57, 33)",6,12
out_reg_171_,198,80256,75264,65,0,19.0,-12.0,31.0,"(49, 51)",6,6
out_reg_170_,199,73216,7680,65,0,11.0,-16.0,27.0,"(5, 47)",6,6
out_reg_169_,200,19456,87552,65,2,21.0,-15.0,36.0,"(57, 12)",6,12
out_reg_168_,201,81280,16896,65,6,22.0,-11.0,33.0,"(11, 52)",6,16
out_reg_167_,202,84096,16896,65,0,15.0,-17.0,32.0,"(11, 54)",6,6
out_reg_166_,203,35456,87552,65,2,18.0,-18.0,36.0,"(57, 22)",6,6
out_reg_165_,204,83456,10752,65,4,13.0,-19.0,32.0,"(7, 54)",6,24
out_reg_164_,205,83456,69120,65,4,17.0,-15.0,32.0,"(45, 54)",6,24
out_reg_163_,206,60800,7680,65,6,14.0,-12.0,26.0,"(5, 39)",6,12
out_reg_162_,207,42624,4608,65,6,25.0,-6.0,31.0,"(3, 27)",6,22
out_reg_161_,208,84096,44544,65,0,13.0,-19.0,32.0,"(29, 54)",6,24
out_reg_160_,209,43520,87552,65,2,19.0,-17.0,36.0,"(57, 28)",6,12
valid_reg_6_,210,512,78336,65,6,18.0,-24.0,42.0,"(51, 0)",6,9
out_reg_223_,211,512,13824,65,6,18.0,-14.0,32.0,"(9, 0)",6,12
out_reg_222_,212,512,53760,65,6,19.0,-8.0,27.0,"(35, 0)",6,12
out_reg_221_,213,512,29184,65,6,17.0,-14.0,31.0,"(19, 0)",6,12
out_reg_220_,214,512,10752,65,6,13.0,-18.0,31.0,"(7, 0)",6,12
out_reg_219_,215,83456,84480,65,4,7.0,-25.0,32.0,"(55, 54)",6,24
out_reg_218_,216,75520,87552,65,2,13.0,-23.0,36.0,"(57, 48)",6,6
out_reg_217_,217,512,59904,65,6,19.0,-7.0,26.0,"(39, 0)",6,12
out_reg_216_,218,512,13824,65,0,18.0,-14.0,32.0,"(9, 0)",6,12
out_reg_215_,219,512,41472,65,6,17.0,-11.0,28.0,"(27, 0)",6,12
out_reg_214_,220,75776,50688,65,6,34.0,-2.0,36.0,"(33, 49)",6,11
out_reg_213_,221,83456,56832,65,4,19.0,-13.0,32.0,"(37, 54)",6,18
out_reg_212_,222,512,19968,65,6,15.0,-20.0,35.0,"(13, 0)",6,6
out_reg_211_,223,62976,10752,65,0,15.0,-9.0,24.0,"(7, 40)",6,6
out_reg_210_,224,512,10752,65,0,13.0,-18.0,31.0,"(7, 0)",6,12
out_reg_209_,225,512,50688,65,0,30.0,-1.0,31.0,"(33, 0)",6,12
out_reg_208_,226,27776,84480,65,6,21.0,-11.0,32.0,"(55, 17)",6,24
out_reg_207_,227,73344,13824,65,6,24.0,-12.0,36.0,"(9, 47)",6,16
out_reg_206_,228,512,69120,65,0,21.0,-4.0,25.0,"(45, 0)",6,12
out_reg_205_,229,75776,84480,65,0,14.0,-16.0,30.0,"(55, 49)",6,12
out_reg_204_,230,51456,87552,65,2,14.0,-22.0,36.0,"(57, 33)",6,12
out_reg_203_,231,83456,87552,65,2,1.0,-35.0,36.0,"(57, 54)",6,12
out_reg_202_,232,69376,10752,65,0,20.0,-12.0,32.0,"(7, 44)",6,11
out_reg_201_,233,11776,84480,65,6,19.0,-13.0,32.0,"(55, 7)",6,15
out_reg_200_,234,73344,10752,65,6,12.0,-19.0,31.0,"(7, 47)",6,6
out_reg_199_,235,83456,35328,65,2,16.0,-15.0,31.0,"(23, 54)",6,18
out_reg_198_,236,35456,84480,65,4,21.0,-9.0,30.0,"(55, 22)",6,12
out_reg_197_,237,69376,7680,65,0,14.0,-15.0,29.0,"(5, 44)",6,12
out_reg_196_,238,76416,66048,65,6,28.0,-4.0,32.0,"(43, 49)",6,17
out_reg_195_,239,61312,7680,65,0,14.0,-12.0,26.0,"(5, 39)",6,12
out_reg_194_,240,59392,13824,65,6,31.0,-5.0,36.0,"(9, 38)",6,20
out_reg_193_,241,83456,44544,65,4,13.0,-19.0,32.0,"(29, 54)",6,24
out_reg_192_,242,35840,84480,65,0,19.0,-11.0,30.0,"(55, 23)",6,12
valid_reg_7_,243,512,84480,65,0,8.0,-24.0,32.0,"(55, 0)",6,12
out_reg_255_,244,11776,1536,65,0,14.0,-18.0,32.0,"(1, 7)",6,12
out_reg_254_,245,34944,41472,65,0,23.0,-7.0,30.0,"(27, 22)",6,17
out_reg_253_,246,7040,26112,65,0,21.0,-11.0,32.0,"(17, 4)",6,6
out_reg_252_,247,35456,1536,65,4,19.0,-11.0,30.0,"(1, 22)",6,6
out_reg_251_,248,67840,87552,65,6,14.0,-22.0,36.0,"(57, 43)",6,12
out_reg_250_,249,67456,84480,65,4,21.0,-11.0,32.0,"(55, 43)",6,24
out_reg_249_,250,4352,59904,65,6,20.0,-11.0,31.0,"(39, 2)",6,12
out_reg_248_,251,11520,1536,65,4,14.0,-18.0,32.0,"(1, 7)",6,12
out_reg_247_,252,4352,38400,65,6,26.0,-8.0,34.0,"(25, 2)",6,6
out_reg_246_,253,83456,50688,65,2,14.0,-17.0,31.0,"(33, 54)",6,12
out_reg_245_,254,83456,59904,65,2,19.0,-13.0,32.0,"(39, 54)",6,24
out_reg_244_,255,8576,7680,65,6,16.0,-13.0,29.0,"(5, 5)",6,6
out_reg_243_,256,59520,1536,65,4,16.0,-16.0,32.0,"(1, 38)",6,12
out_reg_242_,257,19840,1536,65,0,16.0,-16.0,32.0,"(1, 12)",6,12
out_reg_241_,258,4352,44544,65,6,25.0,-7.0,32.0,"(29, 2)",6,12
out_reg_240_,259,27520,84480,65,2,21.0,-11.0,32.0,"(55, 17)",6,24
out_reg_239_,260,84096,32256,65,6,13.0,-19.0,32.0,"(21, 54)",6,24
out_reg_238_,261,10624,75264,65,2,22.0,-14.0,36.0,"(49, 6)",6,15
out_reg_237_,262,67840,84480,65,0,21.0,-11.0,32.0,"(55, 43)",6,24
out_reg_236_,263,59520,87552,65,2,14.0,-22.0,36.0,"(57, 38)",6,12
out_reg_235_,264,75776,84480,65,6,14.0,-16.0,30.0,"(55, 49)",6,12
out_reg_234_,265,67712,4608,65,6,14.0,-18.0,32.0,"(3, 43)",6,24
out_reg_233_,266,19456,81408,65,4,25.0,-7.0,32.0,"(53, 12)",6,22
out_reg_232_,267,75520,4608,65,2,13.0,-16.0,29.0,"(3, 48)",6,12
out_reg_231_,268,84096,35328,65,0,16.0,-15.0,31.0,"(23, 54)",6,18
out_reg_230_,269,35456,84480,65,2,21.0,-9.0,30.0,"(55, 22)",6,12
out_reg_229_,270,67840,1536,65,0,12.0,-20.0,32.0,"(1, 43)",6,12
out_reg_228_,271,76672,66048,65,0,28.0,-4.0,32.0,"(43, 49)",6,17
out_reg_227_,272,67456,1536,65,4,12.0,-20.0,32.0,"(1, 43)",6,12
out_reg_226_,273,43776,1536,65,0,21.0,-11.0,32.0,"(1, 28)",6,12
out_reg_225_,274,83456,41472,65,4,15.0,-17.0,32.0,"(27, 54)",6,18
out_reg_224_,275,46848,81408,65,0,21.0,-9.0,30.0,"(53, 30)",6,12
valid_reg_8_,276,1024,75264,65,0,28.0,-3.0,31.0,"(49, 0)",6,15
out_reg_287_,277,512,16896,65,6,19.0,-7.0,26.0,"(11, 0)",6,12
out_reg_286_,278,35072,47616,65,0,21.0,-9.0,30.0,"(31, 22)",6,17
out_reg_285_,279,512,29184,65,0,17.0,-14.0,31.0,"(19, 0)",6,12
out_reg_284_,280,34944,10752,65,0,23.0,-7.0,30.0,"(7, 22)",6,11
out_reg_283_,281,84096,84480,65,0,7.0,-25.0,32.0,"(55, 54)",6,24
out_reg_282_,282,65536,81408,65,6,11.0,-11.0,22.0,"(53, 42)",6,6
out_reg_281_,283,512,62976,65,6,20.0,-10.0,30.0,"(41, 0)",6,12
out_reg_280_,284,4352,13824,65,0,16.0,-15.0,31.0,"(9, 2)",6,12
out_reg_279_,285,512,38400,65,0,32.0,2.0,30.0,"(25, 0)",6,12
out_reg_278_,286,84096,53760,65,6,14.0,-17.0,31.0,"(35, 54)",6,18
out_reg_277_,287,84096,59904,65,6,19.0,-13.0,32.0,"(39, 54)",6,24
out_reg_276_,288,512,23040,65,6,18.0,-12.0,30.0,"(15, 0)",6,12
out_reg_275_,289,58624,10752,65,2,14.0,-8.0,22.0,"(7, 37)",6,6
out_reg_274_,290,27392,13824,65,2,21.0,-11.0,32.0,"(9, 17)",6,17
out_reg_273_,291,512,47616,65,0,21.0,-7.0,28.0,"(31, 0)",6,12
out_reg_272_,292,28160,81408,65,6,18.0,-9.0,27.0,"(53, 18)",6,6
out_reg_271_,293,84096,23040,65,0,17.0,-15.0,32.0,"(15, 54)",6,18
out_reg_270_,294,512,66048,65,0,22.0,-2.0,24.0,"(43, 0)",6,12
out_reg_269_,295,84096,78336,65,0,9.0,-22.0,31.0,"(51, 54)",6,12
out_reg_268_,296,54656,78336,65,0,22.0,-5.0,27.0,"(51, 35)",6,16
out_reg_267_,297,84096,87552,65,6,1.0,-35.0,36.0,"(57, 54)",6,12
out_reg_266_,298,66944,10752,65,6,15.0,-21.0,36.0,"(7, 43)",6,11
out_reg_265_,299,8704,78336,65,6,15.0,-17.0,32.0,"(51, 5)",6,12
out_reg_264_,300,84096,19968,65,0,22.0,-10.0,32.0,"(13, 54)",6,12
out_reg_263_,301,84096,26112,65,6,14.0,-22.0,36.0,"(17, 54)",6,6
out_reg_262_,302,39680,81408,65,6,23.0,-7.0,30.0,"(53, 25)",6,6
out_reg_261_,303,84096,19968,65,6,22.0,-10.0,32.0,"(13, 54)",6,12
out_reg_260_,304,84096,69120,65,0,17.0,-15.0,32.0,"(45, 54)",6,24
out_reg_259_,305,57344,7680,65,0,15.0,-7.0,22.0,"(5, 37)",6,6
out_reg_258_,306,51456,10752,65,0,23.0,-9.0,32.0,"(7, 33)",6,11
